
Arctic Monkeys,2005,Reino Unido,https://ep01.epimg.net/cultura/imagenes/2018/05/08/actualidad/1525777333_134713_1525778067_noticia_normal.jpg
Keane,1995,Reino Unido,https://www.bbva.com/wp-content/uploads/2019/06/Keane_-by_Alex_-Lake_-2019_BBVA01_opt-1024x621.jpg
Lana del Rey,2005,Estados Unidos,https://www.binaural.es/wp-content/uploads/2018/11/lana.jpg
Lady Gaga,2001,Estados Unidos,https://static2.abc.es/media/estilo/2019/07/31/lady-keE--620x349@abc.jpg
Ariana Grande,2011,Estados Unidos,https://mexico.as.com/mexico/imagenes/2019/02/08/tikitakas/1549582999_815785_1549583637_noticia_normal.jpg
Rihanna,2003,Barbados,https://www.diariogol.com/uploads/s1/70/27/94/9/rihanna_15_970x597.jpeg
Harry Styles,2010,Reino Unido,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/harry-styles-bisexual-video-1571146529.jpg
Ed Sheeran,2005,Reino Unido,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Ed_Sheeran_2013.jpg/330px-Ed_Sheeran_2013.jpg
Justin Bieber,2007,Canadá,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Justin_Bieber_in_2015.jpg/330px-Justin_Bieber_in_2015.jpg
Camila Cabello,2012,Cuba,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Camila_Cabello_AMAs_2019.png/330px-Camila_Cabello_AMAs_2019.png
Post Malone,2013,Estados Unidos,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Post_Malone_2018_%28cropped%29.jpg/360px-Post_Malone_2018_%28cropped%29.jpg
J Balvin,2009,Colombia,https://upload.wikimedia.org/wikipedia/commons/d/d9/J_Balvin_2019.png
Billie Eilish,2015,Estados Unidos,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Billie_Eilish_2019_by_Glenn_Francis_%28cropped%29_2.jpg/345px-Billie_Eilish_2019_by_Glenn_Francis_%28cropped%29_2.jpg
Khalid,2015,Estados Unidos,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Khalid-MTV_smiling.jpg/330px-Khalid-MTV_smiling.jpg
Maroon 5,1994,Estados Unidos,https://studiosol-a.akamaihd.net/uploadfile/letras/fotos/1/a/a/e/1aaeeaf9627582a375b18fe2b5017876.jpg
Shaw Mendes,2013,Canadá,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/191125_Shawn_Mendes_at_the_2019_American_Music_Awards.png/375px-191125_Shawn_Mendes_at_the_2019_American_Music_Awards.png
Bad Bunny,2015,Puerto Rico,https://www.vistazo.com/sites/default/files/field/image/2020/05/14/whatsapp_image_2020-05-14_at_13.34.22.jpeg
Bad Gyal,2016,España,https://e00-elmundo.uecdn.es/assets/multimedia/imagenes/2019/11/27/15748600552596.jpg
Leiva,2012,España,https://estaticos.elperiodico.com/resources/jpg/6/5/zentauroepp47500830-icult190524124632-1558694978856.jpg
